公司名稱,網址,標籤資訊,品牌名稱,主要產品,攤位號碼
原鑫科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AC3D3B00271CA779C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=389,"AI, other",Nextech,工業用電腦,
及至微機電股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/41608BB19E5F2465C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=390,"AR/VR/MR/XR, ESG, SmartHome",,"光達,智慧穿戴裝置,投影機,VR頭盔,VR / AR / MR眼鏡",
友懋國際科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/D90DDA957CED8A95C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=391,"AI, AI Service, Gaming, GenerativeAI",GeIL,動態隨機存取記憶體,
友拓科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/046447FB98FE124DC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=392,"DataCenter, EdgeComputing, SmartCity, SmartHome",,,
友致企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/61362A2AF6240F14C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=393,"EnergyStorage, Gaming",,電腦機殼,
台北國際電腦展,https://www.computextaipei.com.tw/zh-tw/exhibitor/BE2DE0C2546C176FF6EC290994C26CC1E92C4E62FD3681A7/info.html?lt=data&vt=show-area&cr=394,,,其它,
台灣三星電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9F16B3DD5628649AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=395,"AI, Semiconductor, SmartCockpit",,顯示面板技術,
台灣太豪企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/DEF7CB4E551CB6FCC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=397,"AI, Gaming, GreenTech, Security",Clicker,"電腦鍵盤,藍牙鍵盤及滑鼠",
台灣客斯睦有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/F04B15F97E969A02C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=398,"AI, AI Service, EV",,AI 氣冷/水冷/液冷散熱系統,
台灣富朗巴軟體科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/027E9D9A6C32695EC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=399,"AR/VR/MR/XR, NFT",UC-win/Road,"VR / AR / MR應用,",
台灣工控有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/93CA9B535DCB2D3AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=401,"DataCenter, EnergyStorage, HPC, SI, Security",GeneSys Group,磁碟陣列,
台灣希捷科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/98BCC01035898CCAC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=402,"AI, AI Service, BigData, GenerativeAI",Seagate,"AI伺服器,資料中心 / 雲端服務供應商",
台灣廣登電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E48F0985AC32846AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=403,"AI, AI Service, Liquidcooling",,AI 氣冷/水冷/液冷散熱系統,
台灣德國北德技術監護顧問股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/48B7E0FF4AE7B814C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=405,"AI Service, CyberSecurity, other",TUV NORD,,
台灣新蛋股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AB9D15358D7AA684C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=406,"BigData, Gaming, SmartHome",,"電腦機殼,電腦散熱裝置及風扇,固態硬碟,顯示卡,動態隨機存取記憶體,中央處理器 /圖形處理器/加速處理器,電競筆電,電競主機板",
台灣旋剛有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/005A5D10E816622AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=407,"Gaming, Liquidcooling",SHARKOON,"電腦機殼,電腦電源",
台灣派克漢尼汾股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/95550A643D5C75DEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=409,"DataCenter, HPC, Liquidcooling",Parker Hannifin,,
台灣漢印科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/1723114B5F9D43DEC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=410,"Cloud, SmartCity, SmartHome, SmartRetail, other",HPRT,,
台灣漢印科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/1DCB7719A24B0E7766B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=411,"Cloud, SmartCity, SmartHome, SmartRetail, other",,印表機,
台灣物聯網產業技術協會 - 台灣RISC-V聯盟,https://www.computextaipei.com.tw/zh-tw/exhibitor/EB20BF6B8405C2FDC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=412,"AI, GenerativeAI, QuantumComputing, Security, Semiconductor",,IC設計、封裝及代工,
台灣玳能科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E916F42D65260119C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=413,"AI Service, AR/VR/MR/XR, ChatBot, ESG, GenerativeAI",,雲端及資訊系統服務,
台灣用友資訊軟體有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/BB183F720B1E6C73C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=414,"AI Service, BigData, CarbonNeutral, Cloud, ESG",Yonyou,智慧商業服務,
台灣絡鑫電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/709C92BFC1FB11E1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=416,"Gaming, SmartHome",,USB介面轉接頭、線材及集線器,
台灣經貿網,https://www.computextaipei.com.tw/zh-tw/exhibitor/7113885574752BA1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=417,SmartHome,",,",智慧商業服務,
台灣維諦有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6A252F8AC9A6768FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=418,"DataCenter, GreenTech, Liquidcooling",,AI 氣冷/水冷/液冷散熱系統,
台灣艾華電子工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/91CB58F0F9560BA3C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=419,"SmartCar, SmartHome, other",TAIWAN ALPHA,"其他感測器,智慧穿戴裝置,汽車感測器,其他汽車電子",
台灣螢端科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A0E33AE2FAB8C7A8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=420,"SmartCity, SmartRetail",Phistek,"崁入式系統及周邊,多媒體機台",
台灣貿澤電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/497C3EB437A282F9C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=421,"AI, Embedded, EnergyStorage, Semiconductor, SmartHome",,邊緣運算,
台灣鎧俠股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9E3242F2430AA332C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=422,"AI, Cloud, DataCenter, EdgeComputing, Semiconductor",KIOXIA,固態硬碟,
台達電子工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5399E61538802250C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=423,"AI Service, Cloud, DataCenter, GreenTech, Liquidcooling",Delta,不斷電系統,
台雲資訊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/03DA3956C58CC35CC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=424,"AI, AI Service, BigData, ChatBot, GenerativeAI",,生成式AI / 大型語言模型,
吉新能源科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A9AB533289E6A2BFC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=426,"Semiconductor, SmartHome",EZ CHARGER 易智快充,,
同星科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FBF771AF55922372C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=427,"AI, Cloud, Security",,USB介面轉接頭、線材及集線器,
同皇企業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5BF8681E9D0682FAC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=428,other,TTL,,
同美企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/763361AF06F10C86C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=429,Liquidcooling,Artery,"直流馬達,伺服馬達,步進馬達,微控制器",
同達祥有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/693C3BD73271B94AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=430,"Cloud, WiFi6E, WiFi7",,"路由器,網路集線器,網路交換器,網路卡,其他網通產品",
名豐資訊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/84574873E619FA71C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=431,SharedMobilityServices,DATABYTE,外接硬碟,
和光光電股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FFDD52400111CD58C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=432,"AI Service, AR/VR/MR/XR, BigData, SmartHome",,VR / AR / MR應用,
和碩聯合科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A6AECF74E60CBD26C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=433,"AI, AI Service, AutonomousVehicles, ESG, EV, SmartCity",,VR頭盔,
品卓企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/785632B712996153C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=435,ESG,,電腦包,
品固企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2288DCE6CF02C1BBC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=436,"AI Service, Blockchain, Cloud, EnergyStorage",PINGOOD,其他電腦零組件,
品輝科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/13DEEFE6ADF315B8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=437,"AI, Gaming, SmartRetail, UAV, other",,"遊戲機控制器及搖桿,其他電腦周邊",
喜海有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9CCD528B8395C63AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=440,"6G, SmartCar, SmartCity, WiFi7",Lightspeed,"數據機,路由器,閘道器",
喬越實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7E494D16CF54D7ECC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=441,"ESG, EV, LEO, SDGs, other",Dow Corning,"其他感測器,散熱片及熱導管,導熱膏 / 散熱膏",
喬鼎資訊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/ED585C912A46E6A8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=442,"AI, Cloud, DataCenter, GreenTech, Security",PROMISE,"伺服器,磁碟陣列,網路儲存",
嘉煒企業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/DE5D1ED7D66BEC18C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=444,AI,,"觸控顯示器及面板,智慧商業服務,RFID無線辨識系統",
嘉禾登科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9B182752DEE5B42FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=445,other,,其他電腦零組件,
嘉達科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/52EAD17128DDF548C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=446,"6G, AI, AutonomousVehicles, DataCenter, Semiconductor",CABLE MASTER,其他網通產品,
圓凱科技實業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A5B607D9846DF500C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=455,"Gaming, GreenTech",E-Century,"手持裝置保護貼,其他電腦周邊,電腦架",
圓剛科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/8190631CAAEF804BC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=456,"AI, Gaming, SmartCity, SmartHome",AVerMedia,,
圖睿科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2270ACAAF8782002C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=457,"AI, BigData, CyberSecurity, EdgeComputing, HPC",,磁碟陣列,
圖策科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/404B11EA7758ED75C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=458,"AI, AI Service",,生成式AI / 大型語言模型,
城智科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/0EE1A4EB216A0E786CE66B97581E242E96F6ACF547D9859B/info.html?lt=data&vt=show-area&cr=460,"AI, GenerativeAI, Security, SmartCity, SmartRetail",,,
基米科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/CDCEAE96F589E168C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=461,"AI, ESG, Gaming, other",Little Wing,"電腦鍵盤,滑鼠",
士驊科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/F3D712A65B4C7000C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=463,"Embedded, SI",,"工業用電腦,電腦機殼,KVM線材及切換器",
大井泵浦工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9D1DCCF48DBF212BC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=464,AirMobility,,,
大碩科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/5C6ABC56465BF35DC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=466,"Embedded, SI, SmartRetail",TYSSO,銷售點管理系統,
大通電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/CB483449B55C2917C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=467,"6G, AI, Gaming, SmartCar, WiFi6E",PX,"手持裝置傳輸線,無線音源接收器 / 轉換器 / 發射器,無線HDMI接收器 / 轉換器 / 發射器,行動電源,其他電腦周邊,通訊天線",
大陸商廣東特普愛高分子材料有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E442689619F1EE44C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=468,"ESG, EnergyStorage, Gaming, SmartHome",,"桌上型電腦,筆記型電腦,藍牙鍵盤及滑鼠,其他電腦周邊",
大陸商深圳市晨旭通科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/26B5910019A695D8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=469,"6G, EnergyStorage, WiFi6E, WiFi7",RISUNIC,電源適配器,
大陸商深圳市高斯寶電氣技術有限公司台灣辦事處,https://www.computextaipei.com.tw/zh-tw/exhibitor/C5DCE4ECD9CBCBDAC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=470,"AI, EnergyStorage, HPC, other",,電腦電源,
天霖科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/69C4AEB82A94D149C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=473,"DataCenter, WiFi6E, WiFi7",ORIGO,網路交換器,
奇力速工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/AF6CEBDCCBE898B0C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=474,"SI, other",奇力速,"自動及工業控制器模組,可程式自動化控制器 / 可程式控制器,自動化及智慧化整廠設備,其他自動化及智慧化設備,其他特殊電腦系統",
奇恩電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/BBAE2DE22980A291C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=477,"EV, EnergyStorage",GN,鋰電池及鋰離子電池,
奇磊股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/4E0003A7A1DBCC68C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=479,other,SSI,外接硬碟,
奎芯科技,https://www.computextaipei.com.tw/zh-tw/exhibitor/56CEFD5C2D018427EBAFA644770A47EED0636733C6861689/info.html?lt=data&vt=show-area&cr=480,"BigData, Cloud, DataCenter, Edge, Semiconductor","MSquare Technology,,","IC設計、封裝及代工,系統整合服務",
奕展科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FD73BCB5AF9E91C5C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=481,"AI, Semiconductor",,"硬碟,固態硬碟,外接硬碟,隨身碟,記憶卡,其他電腦儲存裝置及媒體",
奧川科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/CB4A1C887AE37F46C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=482,"AI, DataCenter, EdgeComputing, EnergyStorage, Gaming",altatronic 產品型錄,交換式電源供應器,
奧斯登企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/93795906173BC616C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=483,Gaming,OUTSTANDING,電視壁掛架,
好慶科技企業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B2F179C317672006C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=485,"6G, Web3, WiFi6E, WiFi7",EmCom,其他網通產品,
如一國際有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2E186760D482222AC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=487,other,Majextand,"電視壁掛架,其他電腦周邊",
威利國際電子商務有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/9F076AA31B7D6BBCC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=488,"WiFi6E, WiFi7, other",Well Linkage,"手持裝置充電器,網路儲存,低功耗廣域網路模組,其他網通產品",
威剛科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/EFF6B5102114BB87C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=489,"AI, AI Service, ESG, Gaming",ADATA,"工作站,筆記型電腦,固態硬碟,動態隨機存取記憶體",
威圖有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/62534B35573DCAAFC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=490,"AI Service, DataCenter, EdgeComputing, HPC",,雲端及資訊系統服務,
威海大宇電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/294C8A3D52324709E3FFE7E1A39FEBB7D0636733C6861689/info.html?lt=data&vt=show-area&cr=491,"CyberSecurity, Gaming, SmartHome, SmartRetail, VR",DAEWOO,"液晶顯示器,電競螢幕,電競其他週邊,電競桌上型電腦",
威海電子股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/DF33427BD54DE7BBC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=492,other,,交換式電源供應器,
威特科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/858C758FF954159FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=493,"EdgeComputing, SI",Z-TEK,"讀卡機,USB介面轉接頭、線材及集線器",
宇晨材料股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/13A37F52CFFB7CACC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=497,"AI, AutonomousVehicles, DataCenter, Gaming, Semiconductor",,導熱膏 / 散熱膏,
宇瞻科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/85524EE4F5056D44C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=498,"Cloud, ESG, Embedded",Apacer,"自動化及智慧化整廠設備,崁入式系統及周邊,固態硬碟",
宇達資訊事業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/191A515F410191F1C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=499,"DataCenter, Drone, EdgeComputing, Embedded, Security",UDinfo,固態硬碟,
安費諾,https://www.computextaipei.com.tw/zh-tw/exhibitor/24F23ABB5B75C458CAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=505,"AutonomousVehicles, DataCenter, Edge, EnergyStorage, GenerativeAI",Amphenol,"伺服器,雲端及資訊系統服務,資料中心 / 雲端服務供應商,邊緣運算,AI 伺服器,電信服務,AI 氣冷/水冷/液冷散熱系統,生成式 AI / 大型語言模型",
安迪富股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/01A3DD3508E952DDC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=506,"AI, ESG, e-bike",Toshiba Battery,鋰電池及鋰離子電池,
安達康股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/150372AC41CE239DC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=507,other,Intellinet,"網路交換器,其他網通產品",
安鈦克科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/B43A179D6B4FACF5C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=508,"Gaming, Liquidcooling",,電腦機殼,
安鵬科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6B8F13DE9A5DEE7FC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=509,"SharedMobilityServices, other","AnMo, Dino-Lite","手持裝置立架,崁入式系統及周邊,其他電腦周邊",
宏亮科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FD18E8E024A65236C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=510,Gaming,,無線HDMI接收器 / 轉換器 / 發射器,
宏峰實業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/7D96DBDA7818EB96C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=512,"EV, Liquidcooling, PHEV, SmartCar, e-bike",GS,"無人駕駛搬運車,馬達控制器,不斷電系統,交換式電源供應器,汽車照明及指示燈",
宏正自動科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/F2ABFDBBF5C94A18C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=513,"AI, DataCenter, ESG, GreenTech, SI",ATEN,無線HDMI接收器 / 轉換器 / 發射器,
宏碁股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A004E5852CF8AC93C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=514,,Acer,筆記型電腦,
宗暘科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/F6933A3DA69B3767C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=515,Gaming,RAIJINTEK,"交換式電源供應器,電腦機殼",
宗皇企業有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/4D86C2450E2B9C91C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=516,"AI, DataCenter, SmartCity, SmartRetail, WiFi6E",ALLNET,網路交換器,
定揚科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/4D9AE74288B68572C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=517,"AI, CyberSecurity, ZeroTrust",Volktek,網路交換器,
定聯股份有限公司 Sbjlink,https://www.computextaipei.com.tw/zh-tw/exhibitor/DB3B71C17405E6E0C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=518,"CyberSecurity, SmartCity",Sbjlink,網路交換器,
宜家資訊有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/D643787E2C87BE34C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=519,"AI, Embedded, GreenTech, SmartRetail",Winson,"多媒體機台,讀卡機,條碼盤點機,條碼讀取機,條碼及QR Code閱讀系統",
宜賓佳信電子科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/C52EA3F99D5A019BCAADCF7FDE6C69A7D0636733C6861689/info.html?lt=data&vt=show-area&cr=520,"Edge, SmartCity",,"桌上型電腦,液晶顯示器,電競螢幕",
宜鼎國際股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/96C72A9F29EFB6F8C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=521,"AI, AI Service, DataCenter, EdgeComputing, Embedded, SmartCity",Innodisk,固態硬碟,
宥勳科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A64C446DC2695227C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=522,other,,其他電腦周邊,
宸曜科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/FF6AAA6D014B247BC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=524,"AMR, AutonomousVehicles, EdgeComputing, Embedded, SmartCity",Neousys,"工業用電腦,崁入式系統及周邊,其他附加及介面卡,工業物聯網平台",
容大匯通（廈門）貿易有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/94FED094F725CB0A9FA5D07724A13ACCD0636733C6861689/info.html?lt=data&vt=show-area&cr=525,"SmartCar, SmartCity, SmartHome",RONGTA,"數據收集與辨識系統,銷售點管理系統,多媒體機台,條碼盤點機,印表機,行動 POS,條碼列印機,POS 印表機",
密斯特有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/8C22BFA73FEAB204C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=526,Gaming,Mistel,"其他電腦儲存裝置及媒體,電腦鍵盤",
富漛國際股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/6CBACF073BE4CCA5C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=528,"AR/VR/MR/XR, Gaming, SmartHome",Feeltek,"電源適配器,行動電源,USB介面轉接頭、線材及集線器",
富達欣業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/2DE992124502803BC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=530,"AI, AI Service, HPC, SI",,"智慧穿戴裝置,平板電腦,工作站,工業用電腦,AI伺服器,工業平板電腦",
富鈞科技股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/586137D65A436C47C8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=531,Gaming,XIGMATEK,"電腦機殼,電腦電源,電腦散熱裝置及風扇,其他電腦零組件",
寧波宏洋通信科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/298AF0C0FEB47C0066B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=532,Edge,HYCONNECT,"網路卡,低功耗廣域網路模組,其他網通產品,通訊天線,光纖,無線廣域通訊介面卡/模組,資訊系統及網路服務,ZigBee 傳輸器及接收器",
寧波市鄞州區利源電子有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/A9110E3C759C040366B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=533,"Cloud, Edge",,"其他網通產品,電腦線材及連接器",
寧波渠成進出口有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/E79D6C4E2481F52B8608BDEDC4383428D0636733C6861689/info.html?lt=data&vt=show-area&cr=534,MaaS,LUMI,"電視壁掛架,直播解決方案,遊戲機控制器及搖桿,其他遊戲機配件,電腦顯示器支架,其他電腦配件,電競其他週邊,電競耳機/耳機麥克風/麥克風",
寧波精芯科技有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/210CBBC27668A26F66B201C36669FF04D0636733C6861689/info.html?lt=data&vt=show-area&cr=535,DataCenter,,"條碼列印機,POS 印表機",
寰通精密工業股份有限公司,https://www.computextaipei.com.tw/zh-tw/exhibitor/137AC9236DAD13FFC8BCFEC09834DC71/info.html?lt=data&vt=show-area&cr=537,"SmartHome, other",polymax,"手持裝置傳輸線,手持裝置充電器,USB介面轉接頭、線材及集線器,車用充電器",
